Vendor Name,Vendor Overview,HQ,Office Locations,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Pricing Model,Approx. Price Range (AUD),Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Plexus,"Plexus provides AI-powered legal technology solutions, including contract management, matter management, and marketing compliance tools, designed to streamline legal processes and improve efficiency.",,,Plexus Legal Suite,"Plexus Legal Suite offers contract management, matter management, and marketing compliance solutions to streamline legal processes and improve efficiency.",Contracting & Document Automation,"Contract Management,Matter Management,Marketing Compliance","Streamlines legal processes, improves efficiency, and ensures compliance in contract and matter management.",Corporate legal,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,Subscription (SaaS),,Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,The system has just sold itself to the business. It’s taking an average of 18 minutes for an agreement to be generated.,,https://www.plexus.co,
Relativity,"Relativity helps organizations organize data, discover truth, and act on it, offering solutions for e-discovery, contract review, and more, backed by generative AI.","Chicago, IL, USA",,RelativityOne,"RelativityOne is a cloud-based e-discovery platform that offers solutions for legal data challenges, including AI-powered document review and data management.","Litigation, Disputes & Investigations","e-Discovery,Contract Review,Data Breach Response","Organizes legal data, reduces risk, and enhances efficiency in e-discovery and contract review processes.",Corporate legal; Private practice; Litigation / Disputes Teams,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,Multi-Region / Distributed Cloud,,,"FedRAMP,Authorization (US)",,,,Market Leader / Standard,,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"""It's the best Review platform and analytics tool that I have used, with full customization capabilities. Love it.""",,https://www.relativity.com,"1-312-263-1177, 231 South LaSalle St. 20th Floor Chicago, IL 60604"
Reveal,"Reveal is a leader in AI-powered eDiscovery and investigations, offering comprehensive solutions for legal and compliance challenges.",,,Reveal,"Comprehensive AI-powered eDiscovery software for legal departments of any size, offering advanced analytics and streamlined legal holds.","Litigation, Disputes & Investigations","eDiscovery,Legal Holds,Subpoena Response,Early Case Assessment","Simplifies complex data challenges, streamlines legal holds, and reduces costs in eDiscovery and investigations.",Corporate legal; Private practice; Alternative Legal Service Providers (ALSPs); Government / Public Sector,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Predictive / Machine Learning (ML) Platforms; Natural Language Processing (NLP) / Text Analytics,,,,,Subscription (SaaS),,,Market Leader / Standard,,Cloud (SaaS),Corporate,,,,https://www.revealdata.com,"Get in touch with us for general inquiries, sales, etc."
Secured Signing,"Secured Signing is a trusted, all-in-one platform for legally-binding Digital Signatures and Remote Online Notarization (RON).",,,Secured Signing,"A platform for digital signatures and remote online notarization, ensuring secure and legally-binding document workflows.",Contracting & Document Automation,Digital Signatures and Remote Online Notarization,"Streamlines document signing processes and ensures compliance with secure, tamper-proof digital signatures.",Corporate legal; Government / Public Sector,,,No,,,,ISO 27001,SOC 2 (Type I or II),Usage-Based / Consumption,,,Growing Adoption,Easy,Cloud (SaaS),Other / Not Specified,,Rated 4.7 out of 5 by our customers,4.7,https://www.securedsigning.com,
SimpleLegal,"SimpleLegal provides an intelligent legal operations solution to manage matters, spend, vendors, documents, and reporting.",,,SimpleLegal,"SimpleLegal offers a comprehensive legal operations platform with features like e-Billing, matter management, vendor management, and reporting & analytics.",Legal Operations & Analytics,"e-Billing,Matter Management,Vendor Management,Reporting & Analytics","Simplifies legal operations by providing a centralized platform for managing legal matters, spend, and vendor relationships.",Corporate legal; Legal Operations Professionals,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,Subscription (SaaS),,Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,https://www.simplelegal.com,
Sky Discovery,"Sky Discovery provides eDiscovery solutions with a focus on enhancing Relativity One and Relativity Server, offering custom solutions and AI capabilities to support legal professionals.",Australia,,Relativity Solutions,Custom solutions designed to enhance Relativity One and Relativity Server with AI capabilities for eDiscovery processes.,"Litigation, Disputes & Investigations",eDiscovery and data management solutions,"Enhancing eDiscovery processes with AI to manage data collection, analysis, and review.",Litigation / Disputes Teams,Advanced,Australia; United Kingdom,Yes,Natural Language Processing (NLP) / Text Analytics; Computer Vision & Document Recognition,,,ISO 27001,,,,,,,Cloud (SaaS),Corporate,Multilingual (supports major global languages),,,https://www.skydiscovery.com.au,
Smarter Drafter,"Smarter Drafter is a complete document automation platform for law firms, providing solutions from instruction to eSignature, and integrating with existing practice management systems.",Australia,,Smarter Drafter,"A document automation platform for law firms, enabling the creation of client-facing, courtroom-ready documents with integrated eSignature capabilities.",Contracting & Document Automation,Document assembly and eSignature integration,Reduces time and risk in drafting complex legal documents by automating document assembly and integrating with practice management systems.,Corporate legal; Private practice,Advanced,Australia; United Kingdom,Yes,Natural Language Processing (NLP) / Text Analytics,Australia,,ISO 27001,,Subscription (SaaS),,Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,https://smarterdrafter.com.au,Contact Sales and Support via website
Thomson Reuters,,,,HighQ,"Effortless collaboration tools for legal professionals. Transform the way you work with a secure, cloud-based solution that streamlines processes, boosts productivity, and enhances service delivery.","Matter, Workflow & Intake Management",,"Streamlines processes, boosts productivity, and enhances service delivery for legal professionals.",Corporate legal; Private practice; Government / Public Sector,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,Subscription (SaaS),,Demo Available,Growing Adoption,Moderate,Cloud (SaaS),Corporate,,,,https://legal.thomsonreuters.com/en/products/highq,800-950-1215
Vendor Name,Vendor Overview,HQ,Office Locations,Product Name,Product Description,Legal Functionality – Main Category,Legal Functionality – Sub-Category,Main Problem Solved,Primary User Segment,AI Maturity Stage,Regions Served,AI Powered,AI Platform,Hosting Location / Data Residence,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Pricing Model,Approx. Price Range (AUD),,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages supported,Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Whispli,"Whispli is a leading whistleblowing and case management platform designed to help organizations engage anonymously with employees for compliance, HR, or culture purposes.",,"United States, Australia, France",Whispli,"Whispli is a whistleblowing and case management platform that provides secure, anonymous communication channels for reporting misconduct and ensuring compliance with legal regulations.","Compliance, Risk & Governance",Whistleblowing Management,Facilitates anonymous reporting of misconduct and ensures compliance with whistleblowing laws.,Compliance & Risk Teams; Human Resources,Advanced,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,Other,ISO 27001,SOC 2 (Type I or II),Subscription (SaaS),,Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Positive reviews highlighting ease of use, security, and customer support.",,https://www.whispli.com,
Xakia,"Xakia provides a comprehensive legal toolkit designed to simplify legal operations for in-house legal teams, offering features such as matter management, document management, intake and triage, contract management, spend management, and data analytics.",,,Xakia,"Xakia is a legal management software that offers matter management, document management, intake and triage, contract management, spend management, and data analytics to streamline legal operations for in-house legal teams.","Matter, Workflow & Intake Management","Document Management,Contract Management,Spend Management,Data & Analytics","Simplifies and centralizes legal operations, providing insights and efficiency for in-house legal teams.",Corporate legal,,,No,,,,,,Subscription (SaaS),,,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,Positive feedback from legal professionals highlighting time savings and improved efficiency.,,https://www.xakiatech.com,
